timestamp,window_seconds,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,packet_rate_raw,byte_rate_raw,connection_count,unique_destinations,unique_ports,syn_count,established_count,time_wait_count,new_destinations,most_common_destination_count,packet_rate,failed_auth_ratio,connection_burst,destination_change_rate,port_scan_score,protocol_deviation,retransmission_rate,payload_irregularity,device_behavior_shift,request_frequency
1788913680.9561474,2.0109729766845703,8745,754630,82,587,332.6747836775807,379604.80267544574,31,21,11,0,31,10,0,8,0.840986111484644,0.06403615703308123,0.0,0.235847878982611,0.32562963279074064,0.18296044866594638,0.33542748922090176,0.008121840335100328,0.10734645342797258,0.8123516348077626
1788913682.9723163,2.0161688327789307,3977,11581,18,25,21.327578971019076,7716.6156658398795,30,21,11,0,30,11,0,8,0.4495488316951232,0.06985980905566108,0.05,0.235847878982611,0.32562963279074064,0.19959945444474594,0.3575989998153676,0.13076173756578818,0.1356742545837325,0.5640584710523489
1788913684.993294,2.020977735519409,37632,2391693,292,1909,1089.076817283355,1202054.311288908,30,21,11,0,30,12,1,8,1.0,0.0684973617069718,0.0,0.39521705307047805,0.3711636825301312,0.19570674773420513,0.35879570417937606,0.09240907647672669,0.15770646546798445,0.9047401260572597
1788913687.0039337,2.0106396675109863,10266,48490,52,88,69.62958219824091,29222.540940284594,29,20,11,0,29,12,0,8,0.6162397138181521,0.0719973617069718,0.05,0.23229838162588368,0.32562963279074064,0.20570674773420514,0.36879570417937607,0.0503900481189421,0.13583086403460615,0.6625362902005589
1788913689.0163548,2.012421131134033,3083,68319,18,69,43.23150788571477,35480.645127078235,29,20,11,0,29,11,0,8,0.5484978848238735,0.06635980905566108,0.0,0.23229838162588368,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.13071155871773033,0.10760940537671429,0.6311813120243216
1788913691.0323217,2.0159668922424316,46578,1336298,248,1104,670.645934316968,685961.6620299642,29,21,11,0,29,12,0,8,0.9422437944540308,0.0684973617069718,0.0,0.235847878982611,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.0710202485054704,0.10989571324162434,0.8664570873207915
1788913693.086882,2.054560422897339,44646,107990,139,186,158.18468825642293,74291.3171590996,32,24,11,0,32,12,3,8,0.7338609129203257,0.07899736170697179,0.15,0.5643399688130566,0.41669773226952184,0.22570674773420513,0.38879570417937603,0.006742589090165785,0.28944334019075796,0.7396401183333476
1788913695.1011925,2.014310359954834,47465,649055,218,677,444.32080467484076,345785.84008058114,32,24,11,0,32,12,0,8,0.882763265831539,0.0684973617069718,0.0,0.24560162063732244,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.055948339728406404,0.11282183573803775,0.8340306152435488
1788913697.1218863,2.020693778991699,9558,136578,48,147,96.50150954455977,72319.71589130147,32,24,11,0,32,12,0,8,0.6629078620802054,0.0684973617069718,0.0,0.24560162063732244,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.062466732872502706,0.11282183573803775,0.7038148471377971
1788913699.1389394,2.0170531272888184,11381,244897,48,216,130.88400916581227,127055.65189771226,32,24,11,0,32,12,0,8,0.7066284697877314,0.0684973617069718,0.0,0.24560162063732244,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.05527930670075776,0.11282183573803775,0.7329817872987163
1788913701.1611176,2.0221781730651855,233,1367,3,5,3.956130130647057,791.2260261294115,32,24,11,0,32,12,0,8,0.2316807111763691,0.0684973617069718,0.0,0.24560162063732244,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.2010498528115687,0.11282183573803775,0.42967246549292487
1788913703.1793747,2.0182571411132812,5735,363896,42,286,162.51645705515674,183143.66017608123,32,24,11,0,32,12,0,8,0.7377470764056778,0.0684973617069718,0.0,0.24560162063732244,0.32562963279074064,0.19570674773420513,0.35879570417937606,0.04786536686744636,0.11282183573803775,0.7532820239646165
